Unnamed: 0,id,words,ner_tags,marked_sentence,ner_type,entity_words,translated_belarusian,translated_slovenian,translated_slovak,be_feats,sl_feats,sk_feats
11,en-doc6242-sent38,"['The', 'following', 'sports', 'franchises', 'are', 'based', 'in', '[Gary]', ':']","[0, 0, 0, 0, 0, 0, 0, 1, 0]",The following sports franchises are based in [Gary] :,LOC,Gary,Наступныя спартыўныя франшызы заснаваны ў [горад]:,Naslednje športne franšize imajo sedež v [kraj]:,V [hrad] sú založené nasledujúce športové franšízy:,[],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
12,en-doc5840-sent3,"['Soon', 'afterwards', 'he', 'relocated', 'to', '[Paris]', ',', 'where', 'he', 'would', 'lecture', 'on', 'ancient', 'and', 'modern', 'languages', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Soon afterwards he relocated to [Paris] , where he would lecture on ancient and modern languages .",LOC,Paris,"Неўзабаве пасля гэтага ён пераехаў у [горад], дзе ён чытаў лекцыі на старажытных і сучасных мовах.","Kmalu zatem se je preselil v [kraj], kjer bo predaval o starodavnih in sodobnih jezikih.","Čoskoro nato sa presťahoval do [hrad], kde prednášal o starodávnych a moderných jazykoch.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
13,en-doc6249-sent34,"['Almost', 'immediately', 'after', 'taking', 'the', 'oath', 'of', 'office', ',', 'President', '[Obama]', 'acknowledged', 'that', 'repeal', 'would', 'not', 'happen', 'immediately', 'and', 'that', 'he', 'needed', 'to', 'confer', 'with', 'his', 'civilian', 'and', 'military', 'advisers', 'before', 'any', 'change', 'was', 'made', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Almost immediately after taking the oath of office , President [Obama] acknowledged that repeal would not happen immediately and that he needed to confer with his civilian and military advisers before any change was made .",PER,Obama,"Практычна адразу пасля прыняцця прысягі на пасадзе прэзідэнт [мужчына] прызнаў, што адмена не адбудзецца адразу і што яму трэба было данесці да сваіх грамадзянскіх і ваенных дарадцаў да таго, як былі ўнесены змены.","Predsednik [moški] je skoraj takoj po prisegi na prisegi priznal, da se razveljavitev ne bo zgodila takoj in da se mora pred kakršno koli spremembo podati s svojimi civilnimi in vojaškimi svetovalci.","Takmer bezprostredne po tom, čo zložil prísahu úradu, prezident [muž] uznal, že zrušenie sa nestane okamžite a že pred vykonaním akejkoľvek zmeny sa musí udeliť svojim civilným a vojenským poradcom.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
14,en-doc6123-sent4,"['In', '1950', ',', '[Russell]', 'was', 'awarded', 'the', 'Nobel', 'Prize', 'in', 'Literature', ',', '""', 'in', 'recognition', 'of', 'his', 'varied', 'and', 'significant', 'writings', 'in', 'which', 'he', 'champions', 'humanitarian', 'ideals', 'and', 'freedom', 'of', 'thought', '.', '""']","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","In 1950 , [Russell] was awarded the Nobel Prize in Literature , "" in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought . """,PER,Russell,"У 1950 годзе [мужчына] быў узнагароджаны Нобелеўскай прэміяй па літаратуры, ""у знак прызнання яго разнастайных і значных твораў, у якіх ён чэмпіёны гуманітарных ідэалаў і свабоды думкі"".","Leta 1950 je [moški] v literaturi prejel Nobelovo nagrado, ""kot priznanje za svoje raznolike in pomembne spise, v katerih je zagovarjal humanitarne ideale in svobodo misli.""","V roku 1950 získal [muž] Nobelovu cenu v literatúre, „uznáva jeho rozmanité a významné spisy, v ktorých vyhlási humanitárne ideály a slobodu myslenia.“",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
15,en-doc6233-sent36,"['[Spinoza]', 'held', 'good', 'and', 'evil', 'to', 'be', 'relative', 'concepts', ',', 'claiming', 'that', 'nothing', 'is', 'intrinsically', 'good', 'or', 'bad', 'except', 'relative', 'to', 'a', 'particular', 'individual', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[Spinoza] held good and evil to be relative concepts , claiming that nothing is intrinsically good or bad except relative to a particular individual .",PER,Spinoza,"[мужчына] прытрымліваўся добрым і злом, каб быць адноснымі паняццямі, сцвярджаючы, што нішто не з'яўляецца па сутнасці добрым і дрэнным, за выключэннем адносна канкрэтнага чалавека.","[moški] je bil dober in zlo, da so relativni koncepti in trdijo, da nič ni bistveno dobro ali slabo, razen glede na določeno posameznico.","[muž] považoval dobro a zlo za relatívnych konceptov a tvrdil, že nič nie je vnútorne dobré alebo zlé, s výnimkou relatívne k konkrétnemu jednotlivcovi.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
17,en-doc6189-sent33,"['Tensions', 'between', 'the', 'two', 'generals', 'followed', '[Sharon]', ""'s"", 'decision', ',', 'but', 'a', 'military', 'tribunal', 'later', 'found', 'his', 'action', 'was', 'militarily', 'effective', '.']","[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Tensions between the two generals followed [Sharon] 's decision , but a military tribunal later found his action was militarily effective .",PER,Sharon,"Напружанасць паміж двума генераламі рушыла ўслед за рашэннем [мужчына], але ваенны трыбунал пазней выявіў, што яго дзеянне было ваенна эфектыўным.","Napetosti med obema generalima so sledile odločitvi [moški], toda vojaško sodišče je pozneje ugotovilo, da je njegovo dejanje vojaško učinkovito.","Napätie medzi oboma generálmi nasledovalo rozhodnutie [žena], ale vojenský tribunál neskôr zistil, že jeho konanie bolo vojensky účinné.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Fem|Number=Sing']
18,en-doc6276-sent22,"['The', 'very', 'next', 'day', ',', 'Britain', 'declared', 'war', 'on', 'Germany', ',', 'greatly', 'unimpressing', 'the', 'increasingly', 'cynical', '[Gardner]', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","The very next day , Britain declared war on Germany , greatly unimpressing the increasingly cynical [Gardner] .",PER,Gardner,"На наступны дзень Брытанія абвясціла вайну Германіі, вельмі не ўражваючы ўсё больш цынічным [мужчына].","Že naslednji dan je Velika Britanija razglasila vojno Nemčiji, kar je zelo navdušilo vse bolj cinično [moški].","Hneď nasledujúci deň Británia vyhlásila vojnu v Nemecku, ktorá výrazne nezasiahla čoraz cynickejšie [muž].",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
19,en-doc6280-sent6,"['[RotoNews.com]', 'also', 'launched', 'in', 'January', '1997', 'and', 'published', 'its', 'first', 'player', 'note', 'on', 'February', '16', ',', '1997', '.']","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[RotoNews.com] also launched in January 1997 and published its first player note on February 16 , 1997 .",ORG,RotoNews.com,[саюз] таксама запушчаны ў студзені 1997 года і апублікавала сваю першую запіску пра гульца 16 лютага 1997 года.,[zaveznik] je lansiral tudi januarja 1997 in objavil prvo noto igralca 16. februarja 1997.,[zväz] sa začal aj v januári 1997 a zverejnil svoju prvú hráčsku poznámku 16. februára 1997.,[],['Case=Nom|Gender=Masc|Number=Sing'],[]
20,en-doc5979-sent259,"['The', '[Astros]', 'kept', 'pace', 'with', 'the', 'NL', 'West', 'after', 'the', 'All-Star', 'break', ',', 'posting', 'many', 'highlights', 'along', 'the', 'way', '.']","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The [Astros] kept pace with the NL West after the All-Star break , posting many highlights along the way .",ORG,Astros,"[саюз] ішоў у нагу з NL West пасля перапынку All-Star, размяшчаючы шмат асноўных момантаў на гэтым шляху.",[zaveznik] so po prekinitvi All-Star v koraku s NL zahodom in je na poti objavili številne vrhunce.,[zväz] po prestávke All-Star držal krok s NL West a po ceste zverejnil mnoho vrcholov.,[],['Case=Nom|Gender=Masc|Number=Sing'],[]
21,en-doc5860-sent51,"['With', 'the', 'growing', 'popularity', 'of', 'Family', 'Ties', 'which', 'ran', 'in', 'the', 'slot', 'ahead', 'of', 'Cheers', 'from', 'January', '1984', 'until', 'Family', 'Ties', 'was', 'moved', 'to', 'Sundays', 'in', '1987', 'and', 'the', 'placement', 'of', 'The', 'Cosby', 'Show', 'in', 'front', 'of', 'both', 'at', 'the', 'start', 'of', 'their', 'third', 'season', '(', '1984', ')', ',', 'the', 'line-up', 'became', 'a', 'runaway', 'ratings', 'success', 'that', '[NBC]', 'eventually', 'dubbed', '""', 'Must', 'See', 'Thursday', '""', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]","With the growing popularity of Family Ties which ran in the slot ahead of Cheers from January 1984 until Family Ties was moved to Sundays in 1987 and the placement of The Cosby Show in front of both at the start of their third season ( 1984 ) , the line-up became a runaway ratings success that [NBC] eventually dubbed "" Must See Thursday "" .",ORG,NBC,"З расце папулярнасцю сямейных сувязяў, якія прайшлі ў слоце наперадзе ўрачыстасці са студзеня 1984 года, пакуль сямейныя сувязі не былі перанесены ў нядзелю ў 1987 годзе, і размяшчэнне шоу Cosby перад пачаткам свайго трэцяга сезона (1984) склаў поспех, які ўцёк, які [саюз] у рэшце рэшт быў абумоўлены ""у чацвер"".","Z naraščajočo priljubljenostjo družinskih vezi, ki so segale v režo pred veseljem od januarja 1984, dokler se družinske vezi leta 1987 niso preselile v nedelja in postavitev oddaje Cosby pred obema tretjo sezono (1984), je postavitev postala uspeh, ki jih je (NBC], ki ga je [zaveznik] sčasoma gledal "", v četrtek videti"".","S rastúcou popularitou rodinných väzieb, ktoré bežali v slote pred rozveselením od januára 1984, až kým sa rodinné väzby presunuli do nedele v nedeľu v roku 1987 a umiestnenie Cosbyho show pred oboma na začiatku svojej tretej sezóny (1984) sa zostava stala úspechom ratingu utečencov, ktorý [organizácia] nakoniec nazýva „musí vidieť štvrtok“.",[],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Fem|Number=Sing']
23,en-doc6405-sent67,"['From', 'there', 'it', 'was', 'again', 'roughly', 'an', 'upgrade', 'to', 'the', 'original', 'canal', ',', 'running', 'west', 'to', '[Lockport]', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","From there it was again roughly an upgrade to the original canal , running west to [Lockport] .",LOC,Lockport,"Адтуль ён зноў быў прыблізна прыблізна да арыгінальнага канала, які працуе на захад да [горад].","Od tam je bila spet približno nadgradnja do prvotnega kanala, ki je tekel proti zahodu do [kraj].","Odtiaľ to bol opäť zhruba upgrade na pôvodný kanál, ktorý bežal na západ do [hrad].",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
24,en-doc6153-sent9,"['[Weishaupt]', ""'s"", 'radical', 'rationalism', 'and', 'vocabulary', 'was', 'not', 'likely', 'to', 'succeed', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[Weishaupt] 's radical rationalism and vocabulary was not likely to succeed .,PER,Weishaupt,Рацыяналізм і слоўнікавы запас Weishaupt] не атрымалася.,[moški] Radikalni racionalizem in besedišče verjetno ni uspelo uspeti.,Radikálny racionalizmus a slovná zásoba [muž] nepravdepodobne uspel.,[],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
25,en-doc5804-sent0,"['The', '[Cheka]', 'was', 'the', 'first', 'of', 'a', 'succession', 'of', 'Soviet', 'state', 'security', 'organizations', '.']","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The [Cheka] was the first of a succession of Soviet state security organizations .,ORG,Cheka,[саюз] быў першым з пераемнасці савецкіх арганізацый дзяржаўнай бяспекі.,[zaveznik] je bil prvi v zaporedju sovjetskih državnih organizacij.,[zväz] bol prvým z postupnosti sovietskych štátnych bezpečnostných organizácií.,[],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
26,en-doc6316-sent11,"['[Lee]', 'gave', 'strict', 'orders', 'to', 'his', 'army', 'to', 'minimize', 'any', 'negative', 'impacts', 'on', 'the', 'civilian', 'population', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[Lee] gave strict orders to his army to minimize any negative impacts on the civilian population .,PER,Lee,"[мужчына] даў строгія загады сваёй арміі, каб мінімізаваць любыя негатыўныя наступствы на грамадзянскае насельніцтва.","[moški] je svoji vojski podelil stroge ukaze, da bi zmanjšali kakršne koli negativne vplive na civilno prebivalstvo.","[muž] dal svojej armáde prísne rozkazy, aby minimalizoval akékoľvek negatívne vplyvy na civilné obyvateľstvo.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
27,en-doc6276-sent12,"['During', 'his', 'time', 'in', 'the', 'country', ',', '[Gardner]', 'became', 'very', 'interested', 'in', 'local', 'customs', ',', 'namely', 'those', 'involved', 'in', 'folk', 'magic', 'and', 'weapons', '.']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","During his time in the country , [Gardner] became very interested in local customs , namely those involved in folk magic and weapons .",PER,Gardner,"Падчас свайго знаходжання ў краіне [мужчына] вельмі зацікавіўся мясцовымі звычаямі, а менавіта тымі, хто займаецца народнай магіяй і зброяй.","V času svojega časa v državi se je [moški] zelo zanimalo za lokalne običaje, in sicer tiste, ki sodelujejo v ljudski magiji in orožju.","Počas svojho pôsobenia v krajine sa [muž] veľmi zaujímal o miestne zvyky, konkrétne tých, ktorí sa zúčastnili ľudovej mágie a zbraní.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
28,en-doc5929-sent24,"['Although', 'it', 'was', 'designed', 'to', 'serve', 'multilateral', 'agreements', ',', 'during', 'several', 'rounds', 'of', '[GATT]', 'negotiations', 'plurilateral', 'agreements', 'created', 'selective', 'trading', 'and', 'caused', 'fragmentation', 'among', 'members', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Although it was designed to serve multilateral agreements , during several rounds of [GATT] negotiations plurilateral agreements created selective trading and caused fragmentation among members .",ORG,GATT,"Хоць ён быў распрацаваны для абслугоўвання шматбаковых пагадненняў, падчас некалькіх раўндаў [саюз] перамоў плюрылатэральныя пагадненні стварылі выбарчую гандаль і выклікалі раздробленасць сярод членаў.","Čeprav je bil zasnovan tako, da služi večstranskim sporazumom, so v več krogih [zaveznik] pogajanj množični sporazumi ustvarili selektivno trgovanje in povzročili razdrobljenost med člani.","Hoci bol navrhnutý tak, aby slúžil mnohostranným dohodám, počas niekoľkých kôl rokovaní [GATT] plulaterálne dohody vytvorili selektívne obchodovanie a spôsobili fragmentáciu medzi členmi.",[],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Fem|Number=Plur']
30,en-doc6387-sent53,"['[CNN]', 'scored', 'second', 'in', 'the', 'poll', 'with', '39', '%', 'of', 'those', 'polled', 'stating', 'that', 'they', 'trusted', 'the', 'news', 'channel', ',', 'and', '41', '%', 'stating', 'distrust', ',', 'a', '-2', '%', 'net', 'score', '.']","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[CNN] scored second in the poll with 39 % of those polled stating that they trusted the news channel , and 41 % stating distrust , a -2 % net score .",ORG,CNN,"[саюз] набраў другое месца ў апытанні з 39 % апытаных, заявіўшы, што яны давяралі каналу навін, а 41 % заявілі пра недавер, чысты бал -2 %.","[zaveznik] je v anketi dosegel drugo mesto z 39 % anketiranih, ki navajajo, da jim zaupajo novinarski kanal, in 41 %, ki navajajo nezaupanje, kar je -2 % neto oceno.","[organizácia] zaznamenal druhý v ankete, pričom 39 % opýtaných uviedlo, že dôverovali spravodajskému kanálu, a 41 % uviedlo nedôveru, čistého skóre -2 %.",[],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Fem|Number=Sing']
